policy,window_hours,target_fpr,threshold,tpr,fpr,fpr_benign_entities,fpr_attacker_preonset
cusum,24,0.02,1.4935775613784787,0.3688212927756654,0.020043756874280352,0.014212280701754386,0.061675898585622
cusum,24,0.03,1.3694884300231935,0.4323594156493896,0.030268569645717048,0.02294824561403509,0.08252991110429198
cusum,24,0.05,1.2088589668273924,0.5262157294376626,0.05046736450430355,0.04119912280701754,0.11663530214833903
cusum,24,0.075,1.0794069290161132,0.59925955573344,0.07554273874022212,0.06484605263157894,0.15190864314275604
cusum,24,0.1,0.9833191633224487,0.6568941364818891,0.1004288358340101,0.08873815789473684,0.18389105813760517
cusum,24,0.15,0.8431246995925903,0.7411446868120872,0.15082272079736458,0.1380969298245614,0.2416748339663643
cusum,24,0.2,0.7404679775238038,0.7972783670202122,0.20085690224874325,0.1878640350877193,0.29361572881016273
cusum,24,0.3,0.5896881341934204,0.8790274164498699,0.3001854685167097,0.28802763157894734,0.3869828377113191
cusum,120,0.005,1.9854916334152222,0.6294776866119672,0.004811581996315365,0.0025270408163265306,0.023557633937729475
cusum,120,0.01,1.7866590023040771,0.7293376025615369,0.010139795103010149,0.006427551020408163,0.04060101900268357
cusum,120,0.02,1.5930219888687134,0.8201921152691615,0.020089037005977185,0.014383163265306122,0.06690920660970187
cusum,120,0.03,1.4741883277893066,0.8710226135681409,0.03022610342354519,0.022911734693877552,0.09024495417837153
cusum,120,0.05,1.3217952251434326,0.9189513708224935,0.05022463902902457,0.040725,0.1281749636818066
cusum,120,0.075,1.1979880452156078,0.9479687812687613,0.0752603279607033,0.06414489795918367,0.16646920175332097
cusum,120,0.1,1.1066150665283203,0.9654792875725435,0.10049612049147263,0.08818724489795918,0.20149794231791712
cusum,120,0.15,0.9731117248535149,0.9823894336601962,0.15003222122726265,0.13609489795918367,0.26439644814348096
cusum,120,0.2,0.8744967579841614,0.9902941765059036,0.20067525869074943,0.18592397959183674,0.32171848899569205
cusum,120,0.3,0.7283226370811462,0.995597358415049,0.30179488380575215,0.2866280612244898,0.4262479014991983
